Sep=;
DNS Ip; hostname; DNS Organization; whoami 'ns'; ns location; ns distance; whoami 'ecs'; whoami 'ip'; Akamai Edge; Akamai Edge Location; Akamai Edge Distance; Akamai Edge Pretransfer; Netflix Edge; Netflix Edge Location; Netflix Edge Distance; Netflix Edge Pretransfer; Youtube Edge; Youtube Edge Location; Youtube Edge Distance; Youtube Edge Pretransfer
195.67.69.66; server.mkdata.nu;  AS3301 Telia Company AB; ; ; ; ; ; N/A; ; ; ; N/A; ; ; ; N/A; ; ; 
195.99.66.220; nsr2.bticglobal.net;  AS5400 British Telecommunications PLC; 166.49.153.253;  Amsterdam,NL; 11; ; ; 2.19.197.209;  Amsterdam,NL; 11; 124.6; 54.155.178.5;  Dublin,IE; 28; 124.9; 142.250.186.78;  Frankfurt am Main,DE; 20; 475.2
198.153.192.1; null;  AS397220 NeuStar, Inc.; 156.154.85.144;  Stockholm,SE; 13; ; ; 2.22.3.60;  Stockholm,SE; 13; 175.0; 54.237.226.164;  Ashburn,US; 37; 500.9; 173.194.220.91;  Sosnovyy Bor,RU; 27; 124.8
198.153.194.1; null;  AS397213 NeuStar, Inc.; 156.154.77.143;  Amsterdam,NL; 14; ; ; 184.50.167.23;  Oude Meer,NL; 11; 76.9; 54.155.246.232;  Dublin,IE; 28; 158.4; 142.250.184.238;  Mountain View,US; 20; 145.2
198.251.90.91; uncensored.any.dns.nixnet.xyz;  AS53667 FranTech Solutions; ; ; ; ; ; N/A; ; ; ; N/A; ; ; ; N/A; ; ; 
206.165.6.11; dns1.phx.gblx.net;  AS3549 Level 3 Parent, LLC; 8.0.18.135;  Frankfurt am Main,DE; 10; ; ; 23.45.96.101;  Frankfurt am Main,DE; 9; 62.2; 3.225.92.8;  Ashburn,US; 38; 324.2; 172.217.23.14;  London,GB; 20; 200.9
206.165.6.12; dns2.phx.gblx.net;  AS3549 Level 3 Parent, LLC; 8.0.18.141;  Frankfurt am Main,DE; 10; ; ; 23.45.96.101;  Frankfurt am Main,DE; 9; 62.2; 3.211.157.115;  Ashburn,US; 37; 737.8; 172.217.23.14;  London,GB; 20; 200.9
208.67.220.123; resolver2-fs.opendns.com;  AS36692 Cisco OpenDNS, LLC; 146.112.135.68;  Copenhagen,DK; 10; ; ; 23.78.61.14;  Ballerup,DK; 11; 141.4; 54.170.196.176;  Dublin,IE; 28; 152.0; 142.250.74.46;  Mountain View,US; 14; 88.9
208.67.220.220; resolver2.opendns.com;  AS36692 Cisco OpenDNS, LLC; 146.112.135.65;  Copenhagen,DK; 9; ; ; 23.78.61.14;  Ballerup,DK; 11; 141.4; 52.214.181.141;  Dublin,IE; 27; 206.5; 142.250.74.110;  Mountain View,US; 14; 92.8
208.67.220.222; resolver4.opendns.com;  AS36692 Cisco OpenDNS, LLC; 146.112.135.66;  Copenhagen,DK; 10; ; ; 23.78.61.14;  Ballerup,DK; 11; 141.4; 54.170.196.176;  Dublin,IE; 28; 152.0; 142.250.74.142;  Mountain View,US; 14; 117.3
